lemma,definition,type,llm_templates
inagwinde,"it is in the water a certain way, is floating in the water a certain way",vii,"{'verbs': ['be'], 'templates': ['{{subject}} be in the water a certain way', '{{subject}} be floating in the water a certain way']}"
bikwegishin,it lies in a hump as under a blanket or cover,vii,"{'verbs': ['lie'], 'templates': ['{{subject}} lie in a hump as under a blanket or cover']}"
biskiiginigaade,it is folded (by someone) [as something sheet-like],vii,"{'verbs': ['be'], 'templates': ['{{subject}} be folded (by someone) [as something sheet-like]']}"
asiniiwakamigaa,"there is rocky ground, a rocky area",vii,"{'verbs': ['be', 'be'], 'templates': ['there be rocky ground', 'there be a rocky area']}"
waakaminaagwad,it looks clear,vii,"{'verbs': ['look'], 'templates': ['{{subject}} look clear']}"
biskitigweyaa,the river has a sharp bend in it,vii,"{'verbs': ['have'], 'templates': ['{{subject}} (the river) have a sharp bend in it']}"
bingwiiwakamigaa,it is sandy ground,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be sandy ground']}"
apiitaa,"it is a certain height,  is a certain thickness",vii,"{'verbs': ['be'], 'templates': ['{{subject}} be a certain height', '{{subject}} be a certain thickness']}"
ozhaawashkwaakwad,it (stick-like) is blue or green,vii,"{'verbs': ['be'], 'templates': ['{{subject}} (stick-like) be blue or green']}"
gidasigaade,"it is roasted (to remove something), is parched [of wild rice]",vii,"{'verbs': ['be'], 'templates': ['{{subject}} be roasted (to remove something)', '{{subject}} be parched [of wild rice]']}"
ginwaakoonagad,it (canoe or boat) is long,vii,"{'verbs': ['be'], 'templates': ['{{subject}} (canoe or boat) be long']}"
gaaskide,"it dries out, shrivels",vii,"{'verbs': ['dry', 'shrink'], 'templates': ['{{subject}} dry out', '{{subject}} shrink']}"
zheyaakose,it slides open,vii,"{'verbs': ['slide'], 'templates': ['{{subject}} slide open']}"
wenipanad,it is easy,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be easy']}"
zhaazhiibaayaamikaa,"there are tunnels, passages, or trenches in the bottom (of a body of water)",vii,"{'verbs': ['be'], 'templates': ['there be tunnels, passages, or trenches in the bottom (of a body of water)']}"
aatawe,"it goes out, is extinguished",vii,"{'verbs': ['go', 'be'], 'templates': ['{{subject}} go out', '{{subject}} be extinguished']}"
dipiiwegad,"it (sheet-like) is moist, is damp",vii,"{'verbs': ['be'], 'templates': ['{{subject}} (sheet-like) be moist', '{{subject}} (sheet-like) be damp']}"
bikwaakwadominagad,"it (something small and round, grain, berry) is chubby",vii,"{'verbs': ['be'], 'templates': ['{{subject}} (something small and round, grain, berry) be chubby']}"
wiinjiigimaagwad,"it smells filthy, smells shitty",vii,"{'verbs': ['smell'], 'templates': ['{{subject}} smell filthy', '{{subject}} smell shitty']}"
wiiyiigide,it (something sheet-like) smells burnt,vii,"{'verbs': ['be'], 'templates': ['{{subject}} (something sheet-like) be burnt']}"
gagiibaadad,"it is foolish, is silly",vii,"{'verbs': ['be'], 'templates': ['{{subject}} be foolish', '{{subject}} be silly']}"
ishpashkad,"it (plant, grass) has a high stalk, is high",vii,"{'verbs': ['have', 'be'], 'templates': ['{{subject}} (plant, grass) have a high stalk', '{{subject}} (plant, grass) be high']}"
zaagaagone,it sticks out from the snow,vii,"{'verbs': ['stick'], 'templates': ['{{subject}} stick out from the snow']}"
waabijiiyaate,it fades in the light,vii,"{'verbs': ['fade'], 'templates': ['{{subject}} fade in the light']}"
giziibaakwad,it (stick-like) squeaks,vii,"{'verbs': ['squeak'], 'templates': ['{{subject}} (stick-like) squeak']}"
niisiiwezhigaade,"it cut into a fringe (by someone), ""they"" cut it into fringe",vii,"{'verbs': ['be', 'cut'], 'templates': ['{{subject}} be cut into a fringe (by someone)', '(they) cut {{object-intransitive}} into fringe']}"
zhegosin,it lies in a tight place,vii,"{'verbs': ['lie'], 'templates': ['{{subject}} lie in a tight place']}"
agwapijigaade,"it is attached by being tied on (by someone), ""they"" attach it by tying",vii,"{'verbs': ['be', 'attach'], 'templates': ['{{subject}} be attached by being tied on (by someone)', '(they) attach {{object-intransitive}} by tying']}"
mangisagaa,it is a big room or floor space,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be a big room or floor space']}"
maazhibii'igaade,it is written badly (by someone),vii,"{'verbs': ['be'], 'templates': ['{{subject}} be written badly (by someone)']}"
aasaakamigokamigaa,it is mossy ground,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be mossy ground']}"
bakaaboode,it (string-like) breaks in current,vii,"{'verbs': ['break'], 'templates': ['{{subject}} (string-like) break in current']}"
bakite'igaade,"it is hit, struck (by someone), ""they"" hit, strike it",vii,"{'verbs': ['be', 'hit', 'strike'], 'templates': ['{{subject}} be hit (by someone)', '{{subject}} be struck (by someone)', '(they) hit {{object-intransitive}}', '(they) strike {{object-intransitive}}']}"
miziweyaakwadin,"it is frozen solid in one piece, is frozen all over",vii,"{'verbs': ['be'], 'templates': ['{{subject}} be frozen solid in one piece', '{{subject}} be frozen all over']}"
onzaamide,it is overcooked,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be overcooked']}"
niigaanagoode,it hangs in front,vii,"{'verbs': ['hang'], 'templates': ['{{subject}} hang in front']}"
dakootigweyaa,it is a short river,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be a short river']}"
gichi-noodin,"it is very windy, is stormy",vii,"{'verbs': ['be'], 'templates': ['{{subject}} be very windy', '{{subject}} be stormy']}"
ziikoobiiginigaade,"it is strained (by someone), ""they"" strain it; it is drained, wrung out (by someone), ""they"" drain it, wring it out",vii,"{'verbs': ['be', 'strain', 'drain', 'wring'], 'templates': ['{{subject}} be strained (by someone)', '(they) strain {{object-intransitive}}', '{{subject}} be drained (by someone)', '(they) drain {{object-intransitive}}', '{{subject}} be wrung out (by someone)', '(they) wring {{object-intransitive}} out']}"
makadeyaanakwad,it is a dark cloud,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be a dark cloud']}"
animamon,it (road or trail) goes away (in the other direction); it leads away (in the other direction),vii,"{'verbs': ['go', 'lead'], 'templates': ['{{subject}} (road or trail) go away (in the other direction)', '{{subject}} (road or trail) lead away (in the other direction)']}"
animise,it flies away,vii,"{'verbs': ['fly'], 'templates': ['{{subject}} fly away']}"
makadewaanakwad,it is a dark cloud,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be a dark cloud']}"
makadewadite,it is dyed black,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be dyed black']}"
giishkaagonagaa,it is a snow bank,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be a snow bank']}"
apiitoonagad,"it (canoe or boat) is so deep, is so high",vii,"{'verbs': ['be'], 'templates': ['{{subject}} (canoe or boat) be so deep', '{{subject}} (canoe or boat) be so high']}"
babiikwadinaa,there are hills here and there,vii,"{'verbs': ['be'], 'templates': ['there be hills here and there']}"
bagamipon,"the snow arrives, it starts snowing",vii,"{'verbs': ['arrive', 'start'], 'templates': ['the {{subject}} arrive', '{{subject}} start snowing']}"
miskwiiwegad,it (sheet-like) is bloody,vii,"{'verbs': ['be'], 'templates': ['{{subject}} (sheet-like) be bloody']}"
ozisijigaade,it is set in place or in order,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be set in place or in order']}"
wadikwaniwan,it has branches,vii,"{'verbs': ['have'], 'templates': ['{{subject}} have branches']}"
daashkikaa,"it rips, tears",vii,"{'verbs': ['rip', 'tear'], 'templates': ['{{subject}} rip', '{{subject}} tear']}"
debinaagwad,"it is visible at a distance, comes into view",vii,"{'verbs': ['be', 'come'], 'templates': ['{{subject}} be visible at a distance', '{{subject}} come into view']}"
danwewe,there is the sound of shooting (gunfire) or an explosion in a certain place,vii,"{'verbs': ['be'], 'templates': ['there be the sound of shooting (gunfire) or an explosion in a certain place']}"
aanikegamaa,it is a chain of lakes,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be a chain of lakes']}"
gimiwanaanakwad,there are rain clouds,vii,"{'verbs': ['be'], 'templates': ['there be rain clouds']}"
gizhibaayaaboode,it spins in the current or eddy,vii,"{'verbs': ['spin'], 'templates': ['{{subject}} spin in the current or eddy']}"
biigizawitaagwad,"it sounds unclear, sounds fuzzy or noisy; it is hard to make out what it says or means",vii,"{'verbs': ['sound', 'be'], 'templates': ['{{subject}} sound unclear', '{{subject}} sound fuzzy or noisy', '{{subject}} be hard to make out what it says or means']}"
enaabiisin,"it is cracked, has a crack in it",vii,"{'verbs': ['be', 'have'], 'templates': ['{{subject}} be cracked', '{{subject}} have a crack in it']}"
ningagwinde,it thaws in the water,vii,"{'verbs': ['thaw'], 'templates': ['{{subject}} thaw in the water']}"
apiitaabikide,"it (mineral) is so hot, is hot to such an extent",vii,"{'verbs': ['be'], 'templates': ['{{subject}} (mineral) be so hot', '{{subject}} (mineral) be hot to such an extent']}"
gidaasin,it is removed in the wind,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be removed in the wind']}"
bagwegishkaa,"it (sheet-like) has a hole, gets a hole (in it)",vii,"{'verbs': ['have', 'get'], 'templates': ['{{subject}} (sheet-like) have a hole', '{{subject}} (sheet-like) get a hole (in it)']}"
agwaawebinigaade,"it is thrown out of the water, is thrown ashore",vii,"{'verbs': ['be'], 'templates': ['{{subject}} be thrown out of the water', '{{subject}} be thrown ashore']}"
agaasaa,it is small,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be small']}"
naazhibide,"it goes down fast to a lower position: flies, falls, slides, speeds down",vii,"{'verbs': ['go', 'fly', 'fall', 'slide', 'speed'], 'templates': ['{{subject}} go down fast to a lower position', '{{subject}} fly down fast to a lower position', '{{subject}} fall down fast to a lower position', '{{subject}} slide down fast to a lower position', '{{subject}} speed down fast to a lower position']}"
banangwaabiigad,it (string-like) is slack,vii,"{'verbs': ['be'], 'templates': ['{{subject}} (string-like) be slack']}"
apiitaagamishkaa,"it (liquid) reaches such a strength, temperature, or pressure; it (blood) is so high in pressure",vii,"{'verbs': ['reach', 'be'], 'templates': ['{{subject}} (liquid) reach such a strength, temperature, or pressure', '{{subject}} (blood) be so high in pressure']}"
doodooshaabowan,it is milky,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be milky']}"
baagijigaade,it is struck with lightning,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be struck with lightning']}"
ombibijigaade,"it is pulled upward (by someone), ""they"" pull it upward",vii,"{'verbs': ['be', 'pull'], 'templates': ['{{subject}} be pulled upward (by someone)', '(they) pull {{object-intransitive}} upward']}"
zhooshkwadin,"it freezes smooth, is frozen smooth",vii,"{'verbs': ['freeze', 'be'], 'templates': ['{{subject}} freeze smooth', '{{subject}} be frozen smooth']}"
inaanakwad,there are such clouds; clouds go a certain way,vii,"{'verbs': ['be', 'go'], 'templates': ['there be such clouds', '{{subject}} go a certain way']}"
inaate,"it shines a certain way, to a certain place",vii,"{'verbs': ['shine'], 'templates': ['{{subject}} shine a certain way', '{{subject}} shine to a certain place']}"
minweweyaashkaa,the waves sound nice,vii,"{'verbs': ['sound'], 'templates': ['the {{subject}} sound nice']}"
naano-diba'iganeyaa,it is five o'clock,vii,"{'verbs': ['be'], 'templates': [""{{subject}} be five o'clock""]}"
ozhaashiigad,it (sheet-like) is slippery,vii,"{'verbs': ['be'], 'templates': ['{{subject}} (sheet-like) be slippery']}"
waasikwaa,it is shiny,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be shiny']}"
minonaagwad,"it looks good, looks nice",vii,"{'verbs': ['look'], 'templates': ['{{subject}} look good', '{{subject}} look nice']}"
michaa,it is big,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be big']}"
onjibiisaa,rain comes from a certain way,vii,"{'verbs': ['come'], 'templates': ['{{subject}} come from a certain way']}"
gipagijiishkiwagad,it is thick as mud,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be thick as mud']}"
biinad,it is clean,vii,"{'verbs': ['be'], 'templates': ['{{subject}} be clean']}"
dakiminagisin,"it (something small and round, berry, grain) cools",vii,"{'verbs': ['cool'], 'templates': ['{{subject}} (something small and round, berry, grain) cool']}"
nandawaabanjigaade,"it is looked for, searched (by someone), ""they"" look for, search for it",vii,"{'verbs': ['be', 'look', 'search'], 'templates': ['{{subject}} be looked for (by someone)', '(they) look for {{object-intransitive}}', '{{subject}} be searched (by someone)', '(they) search for {{object-intransitive}}']}"
mazinaagonesin,"it leaves an mark, image, design, or pattern in the snow",vii,"{'verbs': ['leave'], 'templates': ['{{subject}} leave a mark in the snow', '{{subject}} leave an image in the snow', '{{subject}} leave a design in the snow', '{{subject}} leave a pattern in the snow']}"
izhigin,it grows a certain way,vii,"{'verbs': ['grow'], 'templates': ['{{subject}} grow a certain way']}"
animikosijigaade,"it is laid face down (by someone), ""they"" lay it face down",vii,"{'verbs': ['be', 'lay'], 'templates': ['{{subject}} be laid face down (by someone)', '(they) lay {{object-intransitive}} face down']}"
daashkaakide,it splits in the fire,vii,"{'verbs': ['split'], 'templates': ['{{subject}} split in the fire']}"
gimiwanaanakwagoode,there is a rain cloud in the sky,vii,"{'verbs': ['be'], 'templates': ['there be a rain cloud in the sky']}"
