lemma,definition,type,llm_templates
bina'wi,take h/ (animate) down,vta,"{'verbs': ['take'], 'templates': ['{{subject}} take {{object}} (animate) down']}"
ginagijiibizh,tickle h/ (at the mid-section),vta,"{'verbs': ['tickle'], 'templates': ['{{subject}} tickle {{object}} (at the mid-section)']}"
niisaabiigin,lower h/ on a rope,vta,"{'verbs': ['lower'], 'templates': ['{{subject}} lower {{object}} on a rope']}"
jiibo',make it (animate) pointed,vta,"{'verbs': ['make'], 'templates': ['{{subject}} make {{object}} (animate) pointed']}"
jaagin,"use h/ up, deplete h/, spend all of h/",vta,"{'verbs': ['use', 'deplete', 'spend'], 'templates': ['{{subject}} use {{object}} up', '{{subject}} deplete {{object}}', '{{subject}} spend all of {{object}}']}"
biisada',chop h/ into small pieces,vta,"{'verbs': ['chop'], 'templates': ['{{subject}} chop {{object}} into small pieces']}"
gaanzikaw,"push, nudge h/ (with foot or body)",vta,"{'verbs': ['push', 'nudge'], 'templates': ['{{subject}} push {{object}} (with foot or body)', '{{subject}} nudge {{object}} (with foot or body)']}"
gabaawebin,throw h/ (animate) off a boat or vehicle,vta,"{'verbs': ['throw'], 'templates': ['{{subject}} throw {{object}} (animate) off a boat or vehicle']}"
zhigizh,urinate on h/,vta,"{'verbs': ['urinate'], 'templates': ['{{subject}} urinate on {{object}}']}"
azhewidaw,"carry, take (it) back to h/",vta,"{'verbs': ['carry', 'take'], 'templates': ['{{subject}} carry (it) back to {{object}}', '{{subject}} take (it) back to {{object}}']}"
dasoopizh,"tie, hitch a certain number of them (animate) together",vta,"{'verbs': ['tie', 'hitch'], 'templates': ['{{subject}} tie a certain number of {{object}} together', '{{subject}} hitch a certain number of {{object}} together']}"
maajiboozh,"start sawing, start filing h/",vta,"{'verbs': ['start', 'start'], 'templates': ['{{subject}} start sawing {{object}}', '{{subject}} start filing {{object}}']}"
bookwaabikiboozh,break it (animate; [mineral/metal) by filing or sawing,vta,"{'verbs': ['break'], 'templates': ['{{subject}} break {{object}} (animate; [mineral/metal) by filing or sawing']}"
anibewebishkaw,"lean it (animate) over, tilt it (animate) (shoving with foot or body)",vta,"{'verbs': ['lean', 'tilt'], 'templates': ['{{subject}} lean {{object}} (animate) over', '{{subject}} tilt {{object}} (animate) (shoving with foot or body)']}"
zhaagoozom,"convince, persuade h/; get the best of h/ in an argument or debate",vta,"{'verbs': ['convince', 'persuade', 'get'], 'templates': ['{{subject}} convince {{object}}', '{{subject}} persuade {{object}}', '{{subject}} get the best of {{object}} in an argument or debate']}"
ombiweba',"lift h/, it (animate) (using something forcefully)",vta,"{'verbs': ['lift'], 'templates': ['{{subject}} lift {{object}} (using something forcefully)', '{{subject}} lift it (animate) (using something forcefully)']}"
zagakin,put h/ away; tidy h/,vta,"{'verbs': ['put', 'tidy'], 'templates': ['{{subject}} put {{object}} away', '{{subject}} tidy {{object}}']}"
izhibii'amaw,write (it) a certain way to or for h/,vta,"{'verbs': ['write'], 'templates': ['{{subject}} write (it) a certain way to or for {{object}}']}"
bagoganaam,punch a hole in h/ (by hitting),vta,"{'verbs': ['punch'], 'templates': ['{{subject}} punch a hole in {{object}} (by hitting)']}"
wiisagishkoozh,hurt h/ by crushing with weight,vta,"{'verbs': ['hurt'], 'templates': ['{{subject}} hurt {{object}} by crushing with weight']}"
babaamidaabii',drive it (animate; an animal or means of transportation) about,vta,"{'verbs': ['drive'], 'templates': ['{{subject}} drive {{object}} (animate; an animal or means of transportation) about']}"
bamenim,care for h/,vta,"{'verbs': ['care'], 'templates': ['{{subject}} care for {{object}}']}"
daadozh,cut h/ (animate) apart and open,vta,"{'verbs': ['cut'], 'templates': ['{{subject}} cut {{object}} (animate) apart and open']}"
naawibazh,fill h/ up partly (with liquid),vta,"{'verbs': ['fill'], 'templates': ['{{subject}} fill {{object}} up partly (with liquid)']}"
meshkodoon,"trade, exchange h/",vta,"{'verbs': ['trade', 'exchange'], 'templates': ['{{subject}} trade {{object}}', '{{subject}} exchange {{object}}']}"
aanishim,discourage h/,vta,"{'verbs': ['discourage'], 'templates': ['{{subject}} discourage {{object}}']}"
maanitaw,dislike what h/ says or sounds like; find what h/ says or sounds like disagreeable,vta,"{'verbs': ['dislike', 'find'], 'templates': ['{{subject}} dislike what {{object}} says or sounds like', '{{subject}} find what {{object}} says or sounds like disagreeable']}"
noozh,nurse h/ [a baby],vta,"{'verbs': ['nurse'], 'templates': ['{{subject}} nurse {{object}} [a baby]']}"
agaasadezhwi,cut it (animate) narrow,vta,"{'verbs': ['cut'], 'templates': ['{{subject}} cut {{object}} (animate) narrow']}"
nagajiba',outrun h/; run away from h/ leaving h/ behind,vta,"{'verbs': ['outrun', 'run'], 'templates': ['{{subject}} outrun {{object}}', '{{subject}} run away from {{object}} leaving {{object}} behind']}"
agwaabiigin,take h/ (animate) off the water,vta,"{'verbs': ['take'], 'templates': ['{{subject}} take {{object}} (animate) off the water']}"
minjimishkoozh,"pin h/ down, hold h/ in place (with weight)",vta,"{'verbs': ['pin', 'hold'], 'templates': ['{{subject}} pin {{object}} down', '{{subject}} hold {{object}} in place (with weight)']}"
biindigadamaw,bring (it) in for h/,vta,"{'verbs': ['bring'], 'templates': ['{{subject}} bring (it) in for {{object}}']}"
gawishimonodaw,lie down beside h/,vta,"{'verbs': ['lie'], 'templates': ['{{subject}} lie down beside {{object}}']}"
gawa'amaw,chop (it) down for h/; fell it for h/,vta,"{'verbs': ['chop', 'fell'], 'templates': ['{{subject}} chop (it) down for {{object}}', '{{subject}} fell (it) for {{object}}']}"
ziinzoopizh,tie h/ with bandage,vta,"{'verbs': ['tie'], 'templates': ['{{subject}} tie {{object}} with bandage']}"
minop,"find h/ tastes good, like the taste of h/",vta,"{'verbs': ['find'], 'templates': ['{{subject}} find {{object}} tastes good, like the taste of {{object}}']}"
nisidawinaw,recognize h/ (by sight),vta,"{'verbs': ['recognize'], 'templates': ['{{subject}} recognize {{object}} (by sight)']}"
nisawishim,put h/ in the middle,vta,"{'verbs': ['put'], 'templates': ['{{subject}} put {{object}} in the middle']}"
zhakamodaw,spoon feed h/,vta,"{'verbs': ['spoon feed'], 'templates': ['{{subject}} spoon feed {{object}}']}"
nakom,agree with h/; answer h/; reply to h/,vta,"{'verbs': ['agree', 'answer', 'reply'], 'templates': ['{{subject}} agree with {{object}}', '{{subject}} answer {{object}}', '{{subject}} reply to {{object}}']}"
giishkiganzhiikozh,cut h/ nails,vta,"{'verbs': ['cut'], 'templates': ['{{subject}} cut {{object}} nails']}"
na'agwazhe',straighten h/ blanket,vta,"{'verbs': ['straighten'], 'templates': ['{{subject}} straighten {{object}} blanket']}"
mashkikiwaabookaazh,make a medicinal tea of h/,vta,"{'verbs': ['make'], 'templates': ['{{subject}} make a medicinal tea of {{object}}']}"
giitazhigane',take off h/ socks,vta,"{'verbs': ['take'], 'templates': ['{{subject}} take {{object}} socks']}"
jiichiibiingwetaw,wink at h/,vta,"{'verbs': ['wink'], 'templates': ['{{subject}} wink at {{object}}']}"
basidiye',slap h/ on the rear,vta,"{'verbs': ['slap'], 'templates': ['{{subject}} slap {{object}} on the rear']}"
gwayakozhwi,cut h/ (animate) straight,vta,"{'verbs': ['cut'], 'templates': ['{{subject}} cut {{object}} (animate) straight']}"
biimaskokaw,"twist h/, turn h/ around  (with foot or body)",vta,"{'verbs': ['twist', 'turn'], 'templates': ['{{subject}} twist {{object}}', '{{subject}} turn {{object}} around (with foot or body)']}"
gikinawaabam,learn by observation of h/; imitate h/,vta,"{'verbs': ['learn', 'imitate'], 'templates': ['{{subject}} learn by observation of {{object}}', '{{subject}} imitate {{object}}']}"
onzaamaabaawazh,get h/ too wet,vta,"{'verbs': ['get'], 'templates': ['{{subject}} get {{object}} too wet']}"
inaagin,bend h/ a certain way,vta,"{'verbs': ['bend'], 'templates': ['{{subject}} bend {{object}} a certain way']}"
zhooshkosaga'wi,smooth it (animate; wood) using something,vta,"{'verbs': ['smooth'], 'templates': ['{{subject}} smooth {{object}} (animate; wood) using something']}"
agaamindekaw,live across from h/ in the lodge,vta,"{'verbs': ['live'], 'templates': ['{{subject}} live across from {{object}} in the lodge']}"
awi',lend (it) to h/,vta,"{'verbs': ['lend'], 'templates': ['{{subject}} lend (it) to {{object}}']}"
baas,dry h/ (animate) (using something),vta,"{'verbs': ['dry'], 'templates': ['{{subject}} dry {{object}} (animate) (using something)']}"
biiwiboozh,saw or grind it (animate) into small particles,vta,"{'verbs': ['saw', 'grind'], 'templates': ['{{subject}} saw {{object}} (animate) into small particles', '{{subject}} grind {{object}} (animate) into small particles']}"
zagaakwa'amaw,"fasten, pin, button (it) for h/",vta,"{'verbs': ['fasten', 'pin', 'button'], 'templates': ['{{subject}} fasten (it) for {{object}}', '{{subject}} pin (it) for {{object}}', '{{subject}} button (it) for {{object}}']}"
ikoninjiiwebin,shove h/ hand aside,vta,"{'verbs': ['shove'], 'templates': ['{{subject}} shove {{object}} hand aside']}"
inizh,cut h/ (animate) a certain way,vta,"{'verbs': ['cut'], 'templates': ['{{subject}} cut {{object}} (animate) a certain way']}"
dakwaabiigizhwi,cut it (animate; string-like) short,vta,"{'verbs': ['cut'], 'templates': ['{{subject}} cut {{object}} (animate; string-like) short']}"
wiikwazom,"persuade, urge, encourage, convince h/",vta,"{'verbs': ['persuade', 'urge', 'encourage', 'convince'], 'templates': ['{{subject}} persuade {{object}}', '{{subject}} urge {{object}}', '{{subject}} encourage {{object}}', '{{subject}} convince {{object}}']}"
waawiinzh,"name, mention h/",vta,"{'verbs': ['name', 'mention'], 'templates': ['{{subject}} name {{object}}', '{{subject}} mention {{object}}']}"
waninamaw,hand wrong one of something to h/,vta,"{'verbs': ['hand'], 'templates': ['{{subject}} hand wrong one of something to {{object}}']}"
dagoz,cook h/ with something else,vta,"{'verbs': ['cook'], 'templates': ['{{subject}} cook {{object}} with something else']}"
apishim,"pad, cushion h/",vta,"{'verbs': ['pad', 'cushion'], 'templates': ['{{subject}} pad {{object}}', '{{subject}} cushion {{object}}']}"
izhidaabii',drive it (animate; an animal or means of transportation) to a a certain place or in a certain way,vta,"{'verbs': ['drive'], 'templates': ['{{subject}} drive {{object}} (animate; an animal or means of transportation) to a certain place or in a certain way']}"
nanaandom,beg h/; keep calling for h/,vta,"{'verbs': ['beg', 'keep', 'call'], 'templates': ['{{subject}} beg {{object}}', '{{subject}} keep calling for {{object}}', '{{subject}} call for {{object}}']}"
odedeyim,have h/ as a father,vta,"{'verbs': ['have'], 'templates': ['{{subject}} have {{object}} as a father']}"
onjinigaazh,carry h/ from a certain place on shoulder,vta,"{'verbs': ['carry'], 'templates': ['{{subject}} carry {{object}} from a certain place on shoulder']}"
naabaakwa',hold h/ with a stick; pick h/ up with a stick,vta,"{'verbs': ['hold', 'pick'], 'templates': ['{{subject}} hold {{object}} with a stick', '{{subject}} pick {{object}} up with a stick']}"
baapi',laugh at h/,vta,"{'verbs': ['laugh'], 'templates': ['{{subject}} laugh at {{object}}']}"
maadaajimotaw,start telling (it) to h/,vta,"{'verbs': ['start', 'tell'], 'templates': ['{{subject}} start telling (it) to {{object}}', '{{subject}} tell (it) to {{object}}']}"
giizhoo',dress h/ warmly,vta,"{'verbs': ['dress'], 'templates': ['{{subject}} dress {{object}} warmly']}"
agwaa'wi,"take it (animate) off the water or fire (using something), take it (animate) out of the pot (using something), dip or scoop it (animate) out",vta,"{'verbs': ['take', 'take', 'dip', 'scoop'], 'templates': ['{{subject}} take {{object}} off the water or fire (using something)', '{{subject}} take {{object}} out of the pot (using something)', '{{subject}} dip {{object}} out', '{{subject}} scoop {{object}} out']}"
bakwajibidamaw,"pull it off or out of something for h/; pick, pluck it for h/",vta,"{'verbs': ['pull', 'pick', 'pluck'], 'templates': ['{{subject}} pull it off or out of something for {{object}}', '{{subject}} pick it for {{object}}', '{{subject}} pluck it for {{object}}']}"
banoom,have h/ drop off the back,vta,"{'verbs': ['have'], 'templates': ['{{subject}} have {{object}} drop off the back']}"
jiibokozh,"carve h/ so s/he is pointed, sharpen h/ to a point (with a blade)",vta,"{'verbs': ['carve', 'sharpen'], 'templates': ['{{subject}} carve {{object}} so s/he is pointed', '{{subject}} sharpen {{object}} to a point (with a blade)']}"
biida'azh,follow h/ trail here,vta,"{'verbs': ['follow'], 'templates': ['{{subject}} follow {{object}} trail here']}"
biinjiweba'amaw,shove or knock (it) in for h/; [hockey] shoot it (the puck) in and score on h/ (the goalie),vta,"{'verbs': ['shove', 'knock', 'shoot'], 'templates': ['{{subject}} shove (it) in for {{object}}', '{{subject}} knock (it) in for {{object}}', '{{subject}} shoot it (the puck) in and score on {{object}} (the goalie)']}"
dookin,poke h/,vta,"{'verbs': ['poke'], 'templates': ['{{subject}} poke {{object}}']}"
naazibiiwizh,"carry, take h/ down to the water",vta,"{'verbs': ['carry', 'take'], 'templates': ['{{subject}} carry {{object}} down to the water', '{{subject}} take {{object}} down to the water']}"
zagigaaden,"hold, grab  h/ by the leg",vta,"{'verbs': ['hold', 'grab'], 'templates': ['{{subject}} hold {{object}} by the leg', '{{subject}} grab {{object}} by the leg']}"
biinjaabibizh,poke h/ in the eye,vta,"{'verbs': ['poke'], 'templates': ['{{subject}} poke {{object}} in the eye']}"
aabajitamaw,"use something of his/hers, use (it) for h/",vta,"{'verbs': ['use'], 'templates': ['{{subject}} use something of {{object-possessive}}', '{{subject}} use (it) for {{object}}']}"
dazaabam,refrain from doing or saying something because of seeing h/ present,vta,"{'verbs': ['refrain'], 'templates': ['{{subject}} refrain from doing or saying something because of seeing {{object}} present']}"
izhinoo'amaw,point to (it) for h/,vta,"{'verbs': ['point'], 'templates': ['{{subject}} point to (it) for {{object}}']}"
na'in,"bury h/; put away, store h/",vta,"{'verbs': ['bury', 'put', 'store'], 'templates': ['{{subject}} bury {{object}}', '{{subject}} put away {{object}}', '{{subject}} store {{object}}']}"
onzaabam,"see, watch h/ from a certain place",vta,"{'verbs': ['see', 'watch'], 'templates': ['{{subject}} see {{object}} from a certain place', '{{subject}} watch {{object}} from a certain place']}"
gashkin,"be able to hold, lift, carry h/ (animate)",vta,"{'verbs': ['hold', 'lift', 'carry'], 'templates': ['{{subject}} be able to hold {{object}} (animate)', '{{subject}} be able to lift {{object}} (animate)', '{{subject}} be able to carry {{object}} (animate)']}"
napaazikamoozh,put (it; clothing) on h/ backwards,vta,"{'verbs': ['put'], 'templates': ['{{subject}} put (it; clothing) on {{object}} backwards']}"
agwaawizh,"carry, take h/ ashore",vta,"{'verbs': ['carry', 'take'], 'templates': ['{{subject}} carry {{object}} ashore', '{{subject}} take {{object}} ashore']}"
onjibizoni',drive h/ from a certain place,vta,"{'verbs': ['drive'], 'templates': ['{{subject}} drive {{object}} from a certain place']}"
aawada'oozh,haul h/ by boat,vta,"{'verbs': ['haul'], 'templates': ['{{subject}} haul {{object}} by boat']}"
ombaabiigiweba'wi,lift it (animate; thread) with a seam-ripper,vta,"{'verbs': ['lift'], 'templates': ['{{subject}} lift {{object}} (animate; thread) with a seam-ripper']}"
gawiwebishkaw,"knock h/ over, down (with foot or body); kick h/ over. down",vta,"{'verbs': ['knock', 'kick'], 'templates': ['{{subject}} knock {{object}} over, down (with foot or body)', '{{subject}} kick {{object}} over, down']}"
odamino',make h/ play; play with h/,vta,"{'verbs': ['make', 'play'], 'templates': ['{{subject}} make {{object}} play', '{{subject}} play with {{object}}']}"
aapijinazh,"finish h/ off, finally and completely kill h/",vta,"{'verbs': ['finish', 'kill'], 'templates': ['{{subject}} finish {{object}} off', '{{subject}} kill {{object}} finally and completely']}"
giishkiga'amaw,chop (it) off for h/,vta,"{'verbs': ['chop'], 'templates': ['{{subject}} chop (it) off for {{object}}']}"
inataw,play such a game with h/,vta,"{'verbs': ['play'], 'templates': ['{{subject}} play such a game with {{object}}']}"
bashkwada',weed h/ using a hoe,vta,"{'verbs': ['weed'], 'templates': ['{{subject}} weed {{object}} using a hoe']}"
naabidoo'amaw,thread something on for h/,vta,"{'verbs': ['thread'], 'templates': ['{{subject}} thread something on for {{object}}']}"
babaaminigaazh,carry h/ about on the shoulder,vta,"{'verbs': ['carry'], 'templates': ['{{subject}} carry {{object}} about on the shoulder']}"
zaagidaabaswi,"drive h/ out with smoke, smoke h/ out",vta,"{'verbs': ['drive', 'smoke'], 'templates': ['{{subject}} drive {{object}} out with smoke', '{{subject}} smoke {{object}} out']}"
gibishim,"put h/ in to block the way, put h/ in to plug something",vta,"{'verbs': ['put', 'put'], 'templates': ['{{subject}} put {{object}} in to block the way', '{{subject}} put {{object}} in to plug something']}"
bawiweba',knock h/ (using something forcefully),vta,"{'verbs': ['knock'], 'templates': ['{{subject}} knock {{object}} (using something forcefully)']}"
ashi,put h/ in a certain place,vta,"{'verbs': ['put'], 'templates': ['{{subject}} put {{object}} in a certain place']}"
baapaagashkina',pack it (animate) hard,vta,"{'verbs': ['pack'], 'templates': ['{{subject}} pack {{object}} (animate) hard']}"
goshkwaawaadin,hold h/ (animate) still,vta,"{'verbs': ['hold'], 'templates': ['{{subject}} hold {{object}} (animate) still']}"
biskiigin,fold it (animate; sheet-like) (with hand),vta,"{'verbs': ['fold'], 'templates': ['{{subject}} fold {{object}} (animate; sheet-like) (with hand)']}"
asham,"feed (it) to, serve (it) to h/",vta,"{'verbs': ['feed', 'serve'], 'templates': ['{{subject}} feed (it) to {{object}}', '{{subject}} serve (it) to {{object}}']}"
jiichiigwam,"chew on, gnaw h/",vta,"{'verbs': ['chew', 'gnaw'], 'templates': ['{{subject}} chew on {{object}}', '{{subject}} gnaw {{object}}']}"
agogwaazh,sew it (animate) on something,vta,"{'verbs': ['sew'], 'templates': ['{{subject}} sew {{object}} on something']}"
debitaw,"be able to hear h/, hear h/ at a distance, catch the sound of h/",vta,"{'verbs': ['be', 'hear', 'hear', 'catch'], 'templates': ['{{subject}} be able to hear {{object}}', '{{subject}} hear {{object}} at a distance', '{{subject}} hear {{object}}', '{{subject}} catch the sound of {{object}}']}"
zhaabwaabam,see through h/,vta,"{'verbs': ['see'], 'templates': ['{{subject}} see through {{object}}']}"
gotigobizh,"roll, tip h/ over",vta,"{'verbs': ['roll', 'tip'], 'templates': ['{{subject}} roll {{object}} over', '{{subject}} tip {{object}} over']}"
maajiiba'iwaazh,run away from h/ in fear,vta,"{'verbs': ['run'], 'templates': ['{{subject}} run away from {{object}} in fear']}"
giziibiigiziden,wash h/ feet,vta,"{'verbs': ['wash'], 'templates': ['{{subject}} wash {{object-possessive}} feet']}"
bagwaakiz,burn a hole in h/,vta,"{'verbs': ['burn'], 'templates': ['{{subject}} burn a hole in {{object}}']}"
niisiwebin,"throw, push, shove h/ down",vta,"{'verbs': ['throw', 'push', 'shove'], 'templates': ['{{subject}} throw {{object}} down', '{{subject}} push {{object}} down', '{{subject}} shove {{object}} down']}"
biina',lay or put put h/ (animate) in something,vta,"{'verbs': ['lay', 'put'], 'templates': ['{{subject}} lay {{object}} (animate) in something', '{{subject}} put {{object}} (animate) in something']}"
akwaabam,see h/ at a certain distance,vta,"{'verbs': ['see'], 'templates': ['{{subject}} see {{object}} at a certain distance']}"
aanji',"change h/, make h/ over",vta,"{'verbs': ['change', 'make'], 'templates': ['{{subject}} change {{object}}', '{{subject}} make {{object}} over']}"
daashkiga'wi,split h/ (by chopping),vta,"{'verbs': ['split'], 'templates': ['{{subject}} split {{object}} (by chopping)']}"
apenimonodaw,"depend on, rely on h/",vta,"{'verbs': ['depend', 'rely'], 'templates': ['{{subject}} depend on {{object}}', '{{subject}} rely on {{object}}']}"
mikwaasenodaw,discover h/ in the light,vta,"{'verbs': ['discover'], 'templates': ['{{subject}} discover {{object}} in the light']}"
biizh,bring h/,vta,"{'verbs': ['bring'], 'templates': ['{{subject}} bring {{object}}']}"
giitaagime',take off h/ snowshoe,vta,"{'verbs': ['take'], 'templates': ['{{subject}} take {{object}} off snowshoe']}"
gashkaabika',lock h/,vta,"{'verbs': ['lock'], 'templates': ['{{subject}} lock {{object}}']}"
babaamibizoni',drive h/ around,vta,"{'verbs': ['drive'], 'templates': ['{{subject}} drive {{object}} around']}"
biindigaw,"enter into where h/ is, come in on h/",vta,"{'verbs': ['enter', 'come'], 'templates': ['{{subject}} enter into where {{object}} is', '{{subject}} come in on {{object}}']}"
nookiz,cook h/ tender,vta,"{'verbs': ['cook'], 'templates': ['{{subject}} cook {{object}} tender']}"
izhinaago',make h/ look a certain way,vta,"{'verbs': ['make'], 'templates': ['{{subject}} make {{object}} look a certain way']}"
bakwadaabaawazh,take it (animate) off by using water on it,vta,"{'verbs': ['take'], 'templates': ['{{subject}} take {{object}} (animate) off by using water on it']}"
inaakon,decide about h/ a certain way; judge h/ a certain way; sentence h/ a certain way,vta,"{'verbs': ['decide', 'judge', 'sentence'], 'templates': ['{{subject}} decide about {{object}} a certain way', '{{subject}} judge {{object}} a certain way', '{{subject}} sentence {{object}} a certain way']}"
zaatemaam,"find h/ smells rancid, stale",vta,"{'verbs': ['find'], 'templates': ['{{subject}} find {{object}} smells rancid, stale']}"
bagaskimisade',slap h/ on the stomach making a slapping sound,vta,"{'verbs': ['slap'], 'templates': ['{{subject}} slap {{object}} on the stomach making a slapping sound']}"
ganawaabandamaw,look at (it) for h/,vta,"{'verbs': ['look'], 'templates': ['{{subject}} look at (it) for {{object}}']}"
jaagaabaji',use h/ up,vta,"{'verbs': ['use'], 'templates': ['{{subject}} use {{object}} up']}"
bagoshkaw,wear a hole in h/ (with foot or body),vta,"{'verbs': ['wear'], 'templates': ['{{subject}} wear a hole in {{object}} (with foot or body)']}"
gina'amaw,"forbid h/ to, warn h/ against",vta,"{'verbs': ['forbid', 'warn'], 'templates': ['{{subject}} forbid {{object}} to', '{{subject}} warn {{object}} against']}"
baapaazagobizh,keep scratching h/,vta,"{'verbs': ['keep', 'scratch'], 'templates': ['{{subject}} keep scratching {{object}}']}"
mikom,mention h/; come to h/ mind,vta,"{'verbs': ['mention', 'come'], 'templates': ['{{subject}} mention {{object}}', '{{subject}} come to {{object}} mind']}"
wiij'ayaaw,be with h/; stay with h/,vta,"{'verbs': ['be', 'stay'], 'templates': ['{{subject}} be with {{object}}', '{{subject}} stay with {{object}}']}"
zinigoshkaw,rub h/ (with foot or body),vta,"{'verbs': ['rub'], 'templates': ['{{subject}} rub {{object}} (with foot or body)']}"
